hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
CX3CL1	C-X3-C motif chemokine ligand 1	Intercrine delta family	NA	NA	NA	NA
CXCL1	C-X-C motif chemokine ligand 1	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL10	C-X-C motif chemokine ligand 10	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL11	C-X-C motif chemokine ligand 11	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL12	C-X-C motif chemokine ligand 12	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL13	C-X-C motif chemokine ligand 13	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL14	C-X-C motif chemokine ligand 14	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL17	C-X-C motif chemokine ligand 17	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL2	C-X-C motif chemokine ligand 2	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL3	C-X-C motif chemokine ligand 3	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL5	C-X-C motif chemokine ligand 5	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL6	C-X-C motif chemokine ligand 6	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
CXCL8	C-X-C motif chemokine ligand 8	Intercrine alpha (chemokine CxC) family	NA	1964.26	NA	NA
CXCL9	C-X-C motif chemokine ligand 9	Intercrine alpha (chemokine CxC) family	NA	NA	NA	NA
DEFB1	defensin beta 1	Beta-defensin family	NA	NA	NA	NA
DEFB103A	defensin beta 103A	Beta-defensin family	NA	NA	NA	NA
DEFB103B	defensin beta 103B	Beta-defensin family	NA	NA	NA	NA
DEFB4A	defensin beta 4A	Beta-defensin family, LAP/TAP subfamily	NA	NA	NA	NA
DEFB4B	defensin beta 4B	Beta-defensin family, LAP/TAP subfamily	NA	NA	NA	NA
DHH	desert hedgehog signaling molecule	Hedgehog family	NA	NA	NA	NA
DKK1	dickkopf WNT signaling pathway inhibitor 1	Dickkopf family	NA	NA	NA	NA
DKK2	dickkopf WNT signaling pathway inhibitor 2	Dickkopf family	NA	NA	NA	NA
