Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
A6NJ78	A6NJ78	METTL15	4052.3	3822	4167.4	7551.3	5350.3
A6NK58	A6NK58	LIPT2	12663.9	7798	15318	26772.7	13430.9
A6NKD9	A6NKD9	CCDC85C	285.1	192.7	318.7	421.3	286.3
A6NKF1	A6NKF1	SAC3D1	140.8	91.2	190.4		838.8
A6NKT7	A6NKT7	RGPD3	14180	14992.7	13773.6	13948	13470.9
A6NKW6	A6NKW6	SHISAL2B	1455.4		1455.4	11874.8	4320.8
A6NLJ0	A6NLJ0	C2CD4B	1922.8	2010.5	1747.6	4329.6	11880.8
A6NM10	A6NM10	AQP12B				3445.1	2059.1
A6NM28	A6NM28	ZFP92				818.2	288
A6NMZ7	A6NMZ7	COL6A6	15848.8	13482.1	17032.2	12557.2	13652
A6NNC1	A6NNC1					1815	2898.8
A6NNZ2	A6NNZ2	TUBB8B	2414.5	2711.7	2266	3894.4	1457
A6QL63	A6QL63	BTBD11	2342.2	2779.7	1977.6		3137.7
A6ZKI3	A6ZKI3	RTL8C	8279.2	7707.3	8565.1	11308.5	7396.7
A7E2V4	A7E2V4	ZSWIM8	8515.7	9559.5	7993.8	11487.8	8353.5
A7KAX9	A7KAX9	ARHGAP32	7268.9	5524.2	8432	13830.3	6345.8
A7MBM2	A7MBM2	DISP2	532.8	659.5	453.7	2528.3	871.9
A8CG34	A8CG34	POM121C	11904.8	12676	11519.2	15799.1	12606.6
A8K2U0	A8K2U0	A2ML1	3124.6	3088.7	3178.4	1587.8	2763
A8MPS7	A8MPS7	YDJC	129		129	2061.7	300.5
A8MSI8	A8MSI8	LYRM9	1913.8		1913.8	2941.1	2386.2
A8MTT3	A8MTT3	CEBPZOS	5203.3		5203.3		7489.7
A8MWD9	A8MWD9	SNRPGP15	132775.6	102844.5	147741.2	107470.3	103175.9
A8MWY0	A8MWY0	ELAPOR2	704.8	675.8	748.2	462.3	950.2
A8MXV4	A8MXV4	NUDT19	8822.3	7759.9	9353.4	14791.8	16092.9
A9UHW6	A9UHW6	MIF4GD	2046.9	1883.3	2128.7	3188.1	2200.6
B2RUZ4	B2RUZ4	SMIM1	3198.6	2735.7	3430	5820.6	5712.1
B7ZAP0	B7ZAP0	RABGAP1L	7749.8	8000.5	7624.5	6124.8	3598.3
B7ZAQ6	B7ZAQ6	GPR89A	6999.8	6858.4	7070.5	10471.5	7285
C4AMC7	C4AMC7	WASH3P	11276.4	11626.9	11101.2	40949.3	16997.7
C9J069	C9J069	AJM1	3474.7	3666.5	3314.9	6320.6	5225.7
C9JI98	C9JI98	TMEM238	1518.7	1364.3	1673.2		2845.4
C9JLW8	C9JLW8	MCRIP1	2197.9	2297.7	2183.7	6301.3	3719.1
E5RJM6	E5RJM6	ANKRD65				3333.8	1691.1
E9PAV3	E9PAV3	NACA	47565.4	43804	49446.1	65588.7	53373.5
E9PRG8	E9PRG8	C11orf98	10766.6	9223.3	11538.3	22232.7	10014.7
L0R6Q1	L0R6Q1	SLC35A4	12859.2	11000.1	13788.7	28726.1	23417
L0R819	L0R819	ASDURF	1335.3	891.1	1434	2825.4	2320.6
L0R8F8	L0R8F8	MIEF1	2692	2809.7	2665.8	4974.9	3404.1
O00115	O00115	DNASE2	7550	5622.5	8192.5	14625.4	7103
O00116	O00116	AGPS	32247.1	32528.7	32106.3	9348.9	15588.7
O00124	O00124	UBXN8	178.4	178.4		438.2	157.4
O00139	O00139	KIF2A	26244.4	27344.4	25694.4	16309.8	15750.1
O00142	O00142	TK2	11321.5	11281	11341.8	22334.5	30780.3
O00148	O00148	DDX39A	35536.8		35536.8		27372.3
O00151	O00151	PDLIM1	35286.7	26098.7	39880.7	108293.3	87307.6
O00154	O00154	ACOT7	37605.8	40591.9	36112.7	20161.2	13478.6
O00159	O00159	MYO1C	31843	34432	30548.5	74643.1	69375.2
O00161	O00161	SNAP23	6255.8	3974.4	7396.5	10974.7	7990.7
O00165	O00165	HAX1	15199.3	16431	14583.4	20992.6	13147.8
O00170	O00170	AIP	30400.3	33817.1	28691.9	46752.7	31302.7
O00178	O00178	GTPBP1	18498.2	17097	19198.7	19879.3	16924.3
O00182	O00182	LGALS9	3334.6		3334.6	9597.8	10273.2
O00186	O00186	STXBP3	12927.9	12636.9	13073.4	12312.3	14640.3
O00189	O00189	AP4M1	902.4	1203.9	842	1257.1	573.6
O00192	O00192	ARVCF	19774.8	22243.7	18540.4	21784.2	14431.7
O00193	O00193	SMAP	17301.5	15617.1	18143.7	18957.9	15258.7
O00194	O00194	RAB27B	4835	3636.9	5034.7	6099.3	9003.5
O00203	O00203	AP3B1	25134	24936.8	25232.6	33501.4	39551.5
O00213	O00213	APBB1	1567.8	1511.7	1595.8	3071.9	1296.3
O00214	O00214	LGALS8	3893.8	3293.8	4193.8	6948.3	6905.1
O00217	O00217	NDUFS8	18908.7	18100.3	19312.9	37372.7	24209.2
O00231	O00231	PSMD11	93208.4	92043.6	93790.8	95475.1	86256.2
O00232	O00232	PSMD12	80604	82422.5	79694.8	53425.5	71356.1
O00233	O00233	PSMD9	32550.7	30866.1	33393	32998	26861.7
O00244	O00244	ATOX1	6863.1	4704.9	7942.1	5518.3	6168.7
O00255	O00255	MEN1	6843.4	6362.5	7083.8	6435.6	5476.6
O00257	O00257	CBX4	1883.4	991.4	1994.9	1415.9	2030.4
O00258	O00258	GET1	7736	9203.2	7002.5	10687.4	7420.9
O00264	O00264	PGRMC1	185240.3	174674.3	190523.3	197613	128844.8
O00267	O00267	SUPT5H	19870.2	19180.5	20215	26295.9	14963.6
O00268	O00268	TAF4	3878.6	3456.9	4089.4	7245.1	3337
O00273	O00273	DFFA	18671.1	17199.5	19407	29963.2	15523.3
O00287	O00287	RFXAP	1843.3		1843.3	5280.2	3334.2
O00291	O00291	HIP1	6472.2	4984.7	7215.9	5546.7	5220.4
O00299	O00299	CLIC1	385437.1	434190.7	361060.3	209779	298123.3
O00303	O00303	EIF3F	53229	56164.6	51761.2	44712.6	65658
O00308	O00308	WWP2	1207.4	1086.4	1273.5	1402.2	1000
O00330	O00330	PDHX	39488	32597.3	42933.4	100563.2	58421.7
O00338	O00338	SULT1C2	2677.5	895.3	3271.6		2184.8
O00339	O00339	MATN2	5680.3	6181.3	5429.8	4789.4	4379.7
O00391	O00391	QSOX1	24090.1	28366.6	21951.9	37663.9	32089.5
O00399	O00399	DCTN6	9203.9	9994	8808.9	10621.2	8696.2
O00400	O00400	SLC33A1	10060.1	11613.9	9283.2	24081.2	21761.6
O00401	O00401	WASL	20247.5	20815.5	19963.6	21787.1	18515.4
O00410	O00410	IPO5	41827.5	40422.2	42530.2	37009.7	39852.8
O00411	O00411	POLRMT	4364.8	4871.7	4134.4	6731.9	4842
O00422	O00422	SAP18	28551.7	26779.7	29437.7	25316.9	20559.9
O00423	O00423	EML1	12297.8	13108.2	11892.6	11586.2	12546.1
O00429	O00429	DNM1L	44443.6	48147.7	42591.5	60397.4	51064.8
O00442	O00442	RTCA	28414.5	34510.3	25366.5	36127	21494.6
O00443	O00443	PIK3C2A	14161.3	13732	14375.9	10315.1	12693
O00445	O00445	SYT5	20543.6	26967.8	17331.6	21698.7	22149.9
O00458	O00458	IFRD1	740.1	521.4	819.7	1481.2	805.4
O00459	O00459	PIK3R2	4051.2	5398.8	3377.5	11029.2	5509.6
O00461	O00461	GOLIM4	7191.3	6525	7524.4	15561	9704
O00462	O00462	MANBA	30474	29513.2	30954.4	3464.2	5199.1
O00468	O00468	AGRN	8941.3	3575.9	11176.9	12423.8	3123.5
O00469	O00469	PLOD2	13193	8135.7	15721.6	5858.4	22151.3
O00470	O00470	MEIS1	12408.8	9327.6	13949.4	10217.4	8620.5
O00471	O00471	EXOC5	23662.8	24129.6	23429.5	31125.8	25223.9
O00472	O00472	ELL2	12179	16439.2	10048.9	9831.2	13072.8
O00478	O00478	BTN3A3	609.7	741.8	477.6	3154.6	2417.1
O00479	O00479	HMGN4	36577	27271	41230	228387.7	53807.4
O00483	O00483	NDUFA4	72150.9	55531	80460.8	48285.1	57445.9
O00487	O00487	PSMD14	90552.8	84934.8	93361.8	90297.3	82097.5
O00488	O00488	ZNF593	4243.3	4421.8	4154		5075.5
O00499	O00499	BIN1	20809.1	22745.8	19840.7	25211.5	17517.1
O00505	O00505	KPNA3	29189.2	28570.2	29498.7	15036.9	19658.4
O00506	O00506	STK25	21242.5	23164.3	20281.7	37574.9	23347.2
O00507	O00507	USP9Y	3860.9	3857.1	3862.8	3198.2	4083.4
O00512	O00512	BCL9	2972.5	2986.9	2965.3	8646.2	2343.7
O00515	O00515	LAD1	7645.2	6592.5	8171.5	31760.9	17074.9
O00519	O00519	FAAH	4292.6	3234.4	4610	15348.4	10790.4
O00522	O00522	KRIT1	1538.3	1350.7	1632.1	2858.2	2312.9
O00534	O00534	VWA5A	52319.6	69659.8	43649.5	76600.9	78078.2
O00541	O00541	PES1.00	15548.7	14342.1	16152	22399.3	18774.9
O00555	O00555	CACNA1A	440.2	558.1	369.4		205.3
O00559	O00559	EBAG9	3818.1	4169.6	3607.2	15464	6246.4
O00560	O00560	SDCBP	9201.4	7798.8	9902.7	13308.4	10921.3
O00562	O00562	PITPNM1	11081.5	12873.4	10185.5	25958.8	14421.5
O00566	O00566	MPHOSPH10	5146.6	4986.4	5226.7	24266.2	6257
O00567	O00567	NOP56	55260.8	52937.6	56422.5	53011.5	46207.2
O00571	O00571	DDX3X	170683.6	171080	170485.3	156988.7	146867.5
O00584	O00584	RNASET2	8849.1	8095.4	9226	22447.8	8870.4
