Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
Q96PE2	Q96PE2	ARHGEF17	2482.9	2636.1	2406.3	5170.6	4654.3
Q96PE3	Q96PE3	INPP4A	10423.5	12064.2	9603.1	12068.7	11594.7
Q96PE7	Q96PE7	MCEE	10427.9	9214.8	11034.5	20586.2	20419.6
Q96PK6	Q96PK6	RBM14	78554.2	78591.1	78535.7	91542.7	70123.8
Q96PU4	Q96PU4	UHRF2	8009.2	7060.5	8483.6	6333.3	4337.1
Q96PU5	Q96PU5	NEDD4L	16339.8	12908.1	18055.6	16923	13107.7
Q96PU8	Q96PU8	QKI	14321.5	7796.8	17583.8	11620.5	5443.7
Q96PV6	Q96PV6	LENG8	2915.5	3185.1	2753.7	11439.4	2683.7
Q96PX8	Q96PX8	SLITRK1	2839.4	3479.7	2305.9		1383.7
Q96PY5	Q96PY5	FMNL2	15385	15692.4	15231.3	35343.6	10423.5
Q96PY6	Q96PY6	NEK1	4078.9	3932.5	4158.8	13086.7	7443.5
Q96PZ0	Q96PZ0	PUS7	15473.2	13564.9	16427.4	13787.5	11100
Q96Q05	Q96Q05	TRAPPC9	11024.1	11825	10623.7	18763.9	15101.6
Q96Q11	Q96Q11	TRNT1	21533	21577	21511	27887.3	23332
Q96Q15	Q96Q15	SMG1	5856	5912.7	5827.7	5138.8	5075.4
Q96Q42	Q96Q42	ALS2	1301.4	1374.8	1264.6	1710.7	773.8
Q96Q83	Q96Q83	ALKBH3	1576.6	1456.2	1643.5	11189.1	2059.1
Q96QA5	Q96QA5	GSDMA	10219.1	13064.1	6425.7	14028	11338.3
Q96QC0	Q96QC0	PPP1R10	16340.3	17252.2	15884.3	17431.5	11614.6
Q96QD9	Q96QD9	FYTTD1	12360	12997	12041.5	14136	13655.8
Q96QE2	Q96QE2	SLC2A13	5144.3	6095.2	4668.8	19512.7	24168.2
Q96QE5	Q96QE5	TEFM	1475.9	1384.3	1537	2783.5	2580.5
Q96QF0	Q96QF0	RAB3IP	4859.4	4548.5	5014.8	6250.6	6669.6
Q96QG7	Q96QG7	MTMR9	26156.5	31291.1	23589.2	16693.1	29064.8
Q96QK1	Q96QK1	VPS35	106726.5	105461.3	107359	98159	131994.9
Q96QR8	Q96QR8	PURB	18110.6	16167.3	19082.3	44642.8	33449
Q96QS3	Q96QS3	ARX	10696	9301.4	11393.3	12704.4	8465.2
Q96QT6	Q96QT6	PHF12	2852.6	2708.8	2931.1	3089.6	1923.5
Q96QZ7	Q96QZ7	MAGI1	6821.6	5429.1	7517.8	14496.8	7391.3
Q96R05	Q96R05	RBP7				594.3	798
Q96RE7	Q96RE7	NACC1	11065.1	11304.6	10945.4	4131.3	8415.7
Q96RF0	Q96RF0	SNX18	9656.4	9738.7	9615.2	19496.2	11206.7
Q96RK0	Q96RK0	CIC	3824.3	3986.6	3743.2	10775.6	4241.3
Q96RK4	Q96RK4	BBS4	5048.1	6567.6	4288.3	22350.4	8355.4
Q96RL1	Q96RL1	UIMC1	1523.7	1711.1	1430	2439.1	1780.1
Q96RL7	Q96RL7	VPS13A	4569.8	5272.6	4218.4	8327.3	6241.7
Q96RN5	Q96RN5	MED15	3709	3417.4	3854.8	6747.2	3825.8
Q96RP9	Q96RP9	GFM1	33159	36315.9	31580.6	38478.5	44796.6
Q96RQ1	Q96RQ1	ERGIC2	9873.5	10230.8	9694.8	15579.1	12411
Q96RQ3	Q96RQ3	MCCC1	19361.6	16745.6	20669.6	50993.5	36345.4
Q96RR4	Q96RR4	CAMKK2	698.7	889.8	660.5		401
Q96RS6	Q96RS6	NUDCD1	26609.9	26066.9	26881.4	9407.8	20313.2
Q96RT1	Q96RT1	ERBIN	3132.9	3142.9	3127.9	6342.5	3789.5
Q96RT7	Q96RT7	TUBGCP6	3443	3668.3	3330.3	5243.4	4106.4
Q96RT8	Q96RT8	TUBGCP5	403.3	232.1	460.4	1499.9	557.1
Q96RU2	Q96RU2	USP28	4635.8	4207.9	4849.8	18142.6	6003.2
Q96RU3	Q96RU3	FNBP1	3905.5	4245.8	3719.8	4040.1	4681.7
Q96RV3	Q96RV3	PCNX1	208		208		627.1
Q96RY7	Q96RY7	IFT140	8850	8970	8790	12584.5	7033.4
Q96S06	Q96S06	LMF1	1817.2	2380.8	1535.4	3224.9	3720.9
Q96S15	Q96S15	WDR24	5912.5	5554.7	6091.4	4642.9	7562.3
Q96S19	Q96S19	METTL26	9729.6	10530.5	9329.2	12936.7	10877.8
Q96S44	Q96S44	TP53RK	20029.3	20185.9	19951	23820.6	23817.6
Q96S52	Q96S52	PIGS	13370.9	14372.4	12870.1	8961.5	9472.1
Q96S55	Q96S55	WRNIP1	29225.9	31120.4	28278.6	19421.5	20776.4
Q96S59	Q96S59	RANBP9	5424.9	5514.6	5380.1	7426.6	5504.3
Q96S66	Q96S66	CLCC1	20108.4	22463.3	18930.9	41110.5	25970.9
Q96S82	Q96S82	UBL7	2500.6	2298.2	2601.8	4460.3	2566.8
Q96S90	Q96S90	LYSMD1	2982.9	3709.8	2619.4	5148.9	1931.9
Q96S94	Q96S94	CCNL2	654.3	376.5	780.5	2675.8	468.8
Q96S97	Q96S97	MYADM	82321.4	87792.4	79585.9	37052.5	119208
Q96S99	Q96S99	PLEKHF1	3879.7	3287.5	4249.8	6162.6	4822.2
Q96SB3	Q96SB3	PPP1R9B	9100.4	9660.1	8820.6	18704.4	11588.5
Q96SB4	Q96SB4	SRPK1	12968.2	12743	13080.9	13196	10493.1
Q96SB8	Q96SB8	SMC6	1490.8	1657.4	1407.6	1657.4	1227.7
Q96SI9	Q96SI9	STRBP	12563	12201.1	12743.9	6520.1	5820
Q96SK2	Q96SK2	TMEM209	5482.4	5196.6	5625.3	5642.1	5166.2
Q96SL4	Q96SL4	GPX7	15081.8	17022.6	14111.5	6455.1	3297.1
Q96SL8	Q96SL8	FIZ1	4291.5	3959.4	4442.5	5546.3	4703.2
Q96SN8	Q96SN8	CDK5RAP2	5153.6	4861.2	5299.8	2819.3	6989.5
Q96ST2	Q96ST2	IWS1	15075.9	13744.6	15741.6	14197.6	9928.8
Q96ST3	Q96ST3	SIN3A	23125.9	19596.7	24890.5	22423.8	16798.9
Q96SU4	Q96SU4	OSBPL9	7892.5	8308.5	7684.4	12787.4	7158.3
Q96SW2	Q96SW2	CRBN	4779.4	4534.1	4902	133.1	4244.8
Q96SY0	Q96SY0	INTS14	3552.9	3537	3560.9	1163.7	2607.3
Q96SZ5	Q96SZ5	ADO	11893.9	11477.5	12102.1	17590.9	10320.5
Q96SZ6	Q96SZ6	CDK5RAP1	3720.3	3933.7	3613.6	3018.3	4052.3
Q96T17	Q96T17	MAP7D2	12910.7	14666.9	12112.4	24262.7	17185.6
Q96T21	Q96T21	SECISBP2					367.2
Q96T23	Q96T23	RSF1	11925.2	11401.6	12187	19337.5	9467.8
Q96T37	Q96T37	RBM15	15995	15027.6	16478.7	13640.8	11443.6
Q96T51	Q96T51	RUFY1	37144.2	39024.3	36204.1	63170.1	42742.2
Q96T52	Q96T52	IMMP2L					11540.5
Q96T54	Q96T54	KCNK17	28206	33650.4	24939.4	2912.4	5705.6
Q96T58	Q96T58	SPEN	5762.1	5951.8	5667.3	9061.2	5044.7
Q96T60	Q96T60	PNKP	16098.5	14298	16998.8	10322.4	10069
Q96T66	Q96T66	NMNAT3	3416.4	2653.2	3832.7	7360.8	9517.3
Q96T76	Q96T76	MMS19	14515.2	14781.3	14382.2	9114.3	8519
Q96T83	Q96T83	SLC9A7	3627.2	4617.2	2835.2	4798.2	6135
Q96TA1	Q96TA1	NIBAN2	22968.2	23906.8	22498.8	97695.2	69714.5
Q96TA2	Q96TA2	YME1L1	11517.9	11843	11355.3	13029	11899.1
Q96TC7	Q96TC7	RMDN3	10624.9	11489	10192.9	15416.9	13333.2
Q99081	Q99081	TCF12	1399.4	1353	1430.4		1132.5
Q99417	Q99417	MYCBP	2678		2678	2614.6	2775.7
Q99418	Q99418	CYTH2	8856.6	9363.3	8603.2	11375.5	11187
Q99426	Q99426	TBCB	93237.9	100911.8	89401	80770.9	76285.1
Q99436	Q99436	PSMB7	38142	35936.8	39244.6	27684.6	35746.6
Q99439	Q99439	CNN2	10513.4	7336.3	12102	11002.5	10057.7
Q99442	Q99442	SEC62	18334.6	19192.6	17905.6	34962.9	25909.8
Q99447	Q99447	PCYT2	33719.2	33140.3	34008.6	17638.9	20483.5
Q99453	Q99453	PHOX2B	1479.4	1912.7	1262.8	1369.2	919.3
Q99459	Q99459	CDC5L	63952.9	61108.4	65375.1	71308.8	51208.5
Q99460	Q99460	PSMD1	98027.6	97357.4	98362.7	53494.7	85156.8
Q99470	Q99470	SDF2	7503.7	7183.7	7663.7	4552.8	2208.3
Q99471	Q99471	PFDN5	18403.6	16425.8	19392.5	22366	15893.2
Q99487	Q99487	PAFAH2	14326.8	14769.9	14105.3	8487.2	11268
Q99496	Q99496	RNF2	7884.2	7053.6	8299.6	13953.6	10512.8
Q99497	Q99497	PARK7	137058.9	135700.2	137738.3	349114.7	247195.8
Q99504	Q99504	EYA3	2566.8	2694.3	2503.1	4328.9	2308.8
Q99519	Q99519	NEU1	26173.3	32832.9	22843.5	11609.6	17726.6
Q99523	Q99523	SORT1	14457.3	13393.9	14989.1	31697.8	17026.4
Q99536	Q99536	VAT1	619117.6	749334.7	554009	784420	955282.3
Q99538	Q99538	LGMN	4513.9	5627.8	3956.9	4115.6	3882.8
Q99541	Q99541	PLIN2	21609.3	9770.5	27528.7	2916.3	4643.2
Q99543	Q99543	DNAJC2	11719	11104.9	12026.1	13192.9	9697.4
Q99547	Q99547	MPHOSPH6	10781.2	8281.7	12281	9715.8	7748.4
Q99549	Q99549	MPHOSPH8	9402.5	9071.3	9568.2	9354.8	8820.1
Q99551	Q99551	MTERF1	1121		1121		1164.6
Q99567	Q99567	NUP88	23710.1	23231.5	23949.4	24605.5	22931.2
Q99569	Q99569	PKP4	4592.6	4339.2	4730.8	17234.6	4791.2
Q99570	Q99570	PIK3R4	7761.5	8874.9	7204.8	11195.9	9558.2
Q99571	Q99571	P2RX4	10049.9	10892.8	9628.4	15389	13064.9
Q99574	Q99574	SERPINI1	34214.3	43131.4	29755.7	20616.9	7985.7
Q99575	Q99575	POP1	11681.1	11786.4	11628.4	10558.5	10444.1
Q99581	Q99581	FEV	496.6	543.6	463.1		156
Q99584	Q99584	S100A13	4971.2	2407.8	6252.9	15520.3	3349.7
Q99590	Q99590	SCAF11	5301	4284.1	5809.5	5664	4708.2
Q99598	Q99598	TSNAX	38235	35970	39367.5	51004.5	54657.7
Q99608	Q99608	NDN	4117.7	5421.8	3465.6	5949	4129.2
Q99611	Q99611	SEPHS2	13731.3	15212.9	12990.5	12392.1	9807.2
Q99613	Q99613	EIF3C	59827.8	61386.8	59048.3	67089.1	71708.9
Q99614	Q99614	TTC1	15885.2	15905	15875.3	21960.2	21240.6
Q99615	Q99615	DNAJC7	16729.5	17072.4	16558	20684	18461
Q99622	Q99622	C12orf57	1855	1524.3	2020.3	9997.9	2411.6
Q99623	Q99623	PHB2	236307.6	203007.7	252957.6	213817.7	280966.2
Q99627	Q99627	COPS8	18663.1	17661.5	19164	20592.4	19013.7
Q99633	Q99633	PRPF18	3547.8	3325.4	3669.1	3610.9	3733.9
Q99638	Q99638	RAD9A	350.6		350.6	1510.3	193.9
Q99643	Q99643	SDHC	8559.1	7159.7	9195.2		11118.9
Q99653	Q99653	CHP1	7017.6	7021.3	7015.8	8983.9	8209.9
Q99666	Q99666	RGPD5	4308.9	4991.4	3998.7	2943.6	4944.5
Q99683	Q99683	MAP3K5	914.6		914.6	2286.6	2782.8
Q99685	Q99685	MGLL	16132.6	19919.1	13860.6		2336.2
Q99698	Q99698	LYST	3150.2	3598.9	2905.4	7609	3208.5
Q99700	Q99700	ATXN2	10549.3	11300.6	10173.7	17523.8	12686.7
Q99704	Q99704	DOK1	635.8	638.4	633.9	774.8	588.5
Q99707	Q99707	MTR	8960	8667.1	9106.5	13709.4	11458.6
Q99714	Q99714	HSD17B10	123239.7	114891.7	127413.8	196691.7	174936.1
Q99719	Q99719	SEPTIN5	16623.7	20031.7	14919.7	22295.4	17132.5
Q99720	Q99720	SIGMAR1	11513	10806.5	11866.3	5812.3	8706.5
Q99729	Q99729	HNRNPAB	82560.3	70624.4	88528.2	63364.8	53400.5
Q99733	Q99733	NAP1L4	80494.3	72135.7	84673.6	82214.9	66082.9
Q99735	Q99735	MGST2	131329.1	145655	124166.1	195939.7	232330.6
Q99747	Q99747	NAPG	13705.3	14067.1	13524.4	31816.5	24330.2
Q99755	Q99755	PIP5K1A	3696.3	3074.8	4007	3073.2	3002.6
Q99758	Q99758	ABCA3	8299.4	9711.6	7593.2	9939.8	7552.3
Q99766	Q99766	DMAC2L	5118.3	4309.9	5522.6	8446.2	9780.4
Q99784	Q99784	OLFM1					2732.7
Q99797	Q99797	MIPEP	14568.1	13197.5	15253.4	16051.5	16920
Q99798	Q99798	ACO2	174718	140880	191637	264919.7	210066
Q99805	Q99805	TM9SF2	20618.3	24251.6	18801.6	14774.9	32459.3
Q99807	Q99807	COQ7	11392.5	10417	11880.3	19058.9	15479.6
Q99808	Q99808	SLC29A1	21144.3	23851.5	19790.7	10283.4	14287.9
Q99816	Q99816	TSG101	35730	37076.2	35056.9	53857.8	42238.6
Q99828	Q99828	CIB1				5864	6925.9
Q99829	Q99829	CPNE1	70639	74893.6	68511.7	56957	44830.7
Q99832	Q99832	CCT7	116360.6	108391.6	120345.2	81158.6	109971.6
Q99836	Q99836	MYD88	5283.1	5467.9	5190.7	5028.4	4599.1
Q99848	Q99848	EBNA1BP2	12490.9	10187.1	13642.8	15625.5	11589.3
Q99856	Q99856	ARID3A	15098	16201.4	14546.3	3595.4	3438.6
Q99873	Q99873	PRMT1	128431	125075	130109	30540.8	60321.7
Q99895	Q99895	CTRC	26131.3	33511.6	23671.2	39383.8	34361.6
Q99933	Q99933	BAG1	7721.3	7719.7	7722.1	18564.4	9524.5
Q99942	Q99942	RNF5	841.1	865.7	828.8	1578.2	555.8
Q99943	Q99943	AGPAT1	27192.8	27175.7	27201.3	15238	19960.7
Q99946	Q99946	PRRT1	3988.8		3988.8	8476.5	3989.4
Q99952	Q99952	PTPN18	44.7		44.7	481.5	200.9
Q99959	Q99959	PKP2	20520.9	11479.3	25041.6	36356.5	19440
Q99961	Q99961	SH3GL1	24368.7	23110.7	24997.7	26644.5	21952.1
Q99962	Q99962	SH3GL2	35543.7	38431.3	34099.9	103892.5	94077.4
Q99969	Q99969	RARRES2				4446.8	1990.8
Q99973	Q99973	TEP1	1133.7	739.7	1330.7	5286.6	2649.9
Q99986	Q99986	VRK1	8985.7	7531.9	9712.5	30769	5702.5
Q99988	Q99988	GDF15	7656.1	3587.3	9181.9	2689.3	7332
Q99996	Q99996	AKAP9	16527.3	17921.9	15830	28880.5	17992
Q9BPW8	Q9BPW8	NIPSNAP1	270861.7	256358.7	278113.3	103432.7	109189.5
Q9BPX5	Q9BPX5	ARPC5L	41356.8	40998.8	41535.7	46273.6	39589.3
Q9BPX6	Q9BPX6	MICU1	5467.5	5306	5548.2	7863.8	6446.8
Q9BPX7	Q9BPX7	C7orf25	3502	3642.3	3431.8	6651	4674.2
Q9BPY3	Q9BPY3	FAM118B	3595.2	2916	3878.2		2289.2
Q9BPZ7	Q9BPZ7	MAPKAP1	2205.8	1799.7	2427.3		1958.8
Q9BQ04	Q9BQ04	RBM4B	2366.5	2383.6	2358	2396.3	2512.8
Q9BQ13	Q9BQ13	KCTD14	4004.6	12661.4	2561.8	31869.7	17679.8
Q9BQ39	Q9BQ39	DDX50	17285.1	14783.1	18536.1	22534.3	14916.4
Q9BQ48	Q9BQ48	MRPL34	4053.7	3462.9	4349.1	12965.8	4032.1
Q9BQ52	Q9BQ52	ELAC2	15131.3	15718.4	14837.8	16422.1	14371
Q9BQ61	Q9BQ61	TRIR	6842.8	5961.2	7283.6	10954.3	6402.6
Q9BQ67	Q9BQ67	GRWD1	8078.4	7522.1	8356.6	8638.6	7343.4
Q9BQ69	Q9BQ69	MACROD1	8805.5	8687.9	8864.3	16248.6	15581.3
Q9BQ70	Q9BQ70	TCF25	10637.4	11642.9	10134.7	10314.7	8670.7
Q9BQ75	Q9BQ75	CMSS1	2871.9	3996.7	2590.7		3345.3
Q9BQ95	Q9BQ95	ECSIT	7515.4	8067.6	7239.3	6306.9	9429.4
Q9BQA1	Q9BQA1	WDR77	31706.5	30455.7	32331.9	2556.2	15928
Q9BQA9	Q9BQA9	CYBC1	18776.6	19118.4	18605.7	5214.3	15450.3
Q9BQB6	Q9BQB6	VKORC1	10146	10900	9734.7	4201.4	14301.5
Q9BQC3	Q9BQC3	DPH2	3719.6	2948	4105.4	9598.5	3135.6
Q9BQC6	Q9BQC6	MRPL57	4492.8	3302.5	5088	5444.9	4876.7
Q9BQD3	Q9BQD3	KXD1	1935.3	1995.4	1905.3	4210.7	2428.7
Q9BQE3	Q9BQE3	TUBA1C	1050128	1085130.8	1032626.6	548183.7	546322.1
Q9BQE4	Q9BQE4	SELENOS	5835.6	5517.8	5994.5	11012.4	6322.7
Q9BQE5	Q9BQE5	APOL2	15041.3	11924.2	16599.8	34371.6	47448.1
Q9BQF6	Q9BQF6	SENP7	1310.5	1176.2	1377.7	2418.4	1410.1
Q9BQG0	Q9BQG0	MYBBP1A	15526.1	13226.5	16675.9	21531.2	18889.8
Q9BQG2	Q9BQG2	NUDT12	13992.6	13009.7	14484.1	16479.4	18308.8
Q9BQI0	Q9BQI0	AIF1L	774.8	836.3	763.7	1742	484.4
Q9BQI9	Q9BQI9	NRIP2				2647.8	4580.7
Q9BQK8	Q9BQK8	LPIN3	7903.4		7903.4	3494.1	4033.9
Q9BQL6	Q9BQL6	FERMT1	5767		5767	4066.5	4541.2
Q9BQQ3	Q9BQQ3	GORASP1	7856.8	8904.9	7332.8	7386.2	9310.2
Q9BQS8	Q9BQS8	FYCO1	5744.2	5226.3	6003.1	15376.5	11620.9
Q9BQT8	Q9BQT8	SLC25A21	5529.8	3546.2	6521.6	9156.2	5644.9
Q9BQT9	Q9BQT9	CLSTN3	3249.6	4103.4	2822.7	1627.7	919.9
Q9BR61	Q9BR61	ACBD6	5639	5431	5743.1	8229	5130.1
Q9BR76	Q9BR76	CORO1B	105468.4	118283.8	99060.8	88195.1	97978.8
Q9BRA0	Q9BRA0	NAA38	814.9		814.9	1484.1	821.1
Q9BRA2	Q9BRA2	TXNDC17	91155.2	82798.3	95333.6	39935.4	67128.9
Q9BRB3	Q9BRB3	PIGQ	1802.3	1742	1832.5		1836.8
Q9BRD0	Q9BRD0	BUD13	3691.4	2935.1	4103.8	8428.8	3512.9
Q9BRF8	Q9BRF8	CPPED1	78934.9	85277.4	75763.7	44396.6	58029.4
Q9BRG1	Q9BRG1	VPS25	25411.4	24863.8	25685.3	24983.3	19977.2
Q9BRI3	Q9BRI3	SLC30A2					6794.2
Q9BRJ2	Q9BRJ2	MRPL45	16218.5	15144.9	16755.4	22335.9	20117.8
Q9BRJ6	Q9BRJ6	C7orf50	10026.6	9430.5	10324.6	13829.8	7458.9
Q9BRJ7	Q9BRJ7	NUDT16L1	21082.7	20054.2	21596.9	8370.5	12263.3
Q9BRK0	Q9BRK0	REEP2	2785.5	3007.8	2664.3	1976.1	2252.8
Q9BRK5	Q9BRK5	SDF4	18171.4	22650.9	15931.7	40092.8	22436.8
Q9BRL6	Q9BRL6	SRSF8	1539.6	1833.4	1455.7	2887.8	1443.1
Q9BRP1	Q9BRP1	PDCD2L	2043.5	2328.4	1888.2	4143.1	1617.6
Q9BRP4	Q9BRP4	PAAF1	18943.7	17841.7	19494.8	8160.2	12686.1
Q9BRP8	Q9BRP8	PYM1	9969.9	9406.8	10251.5	29408.2	8824
Q9BRQ0	Q9BRQ0	PYGO2	2463.4	2591.5	2405.2	3931.8	2529.7
Q9BRQ6	Q9BRQ6	CHCHD6	19883.9	19671.6	19990	40621.3	24976.7
Q9BRQ8	Q9BRQ8	AIFM2	9931.2	10565.8	9613.9	12163.5	12307.3
Q9BRR3	Q9BRR3	PGAP4	11361.8	11417.3	11334.1	12975.4	21812.4
Q9BRR6	Q9BRR6	ADPGK	6315.9	5551.1	6698.3	9670.5	6610
Q9BRR8	Q9BRR8	GPATCH1	755.8	535.9	887.8	3033.2	690.8
Q9BRS2	Q9BRS2	RIOK1	2920.8	2631.5	3041.4	3702.3	2931.3
Q9BRS8	Q9BRS8	LARP6	1757.5	1480.9	1895.7	2195.6	1328.4
Q9BRT2	Q9BRT2	UQCC2	5316.2	4844.3	5552.1	8955.9	5965.5
Q9BRT3	Q9BRT3	MIEN1	10034.4	8803.9	10649.6	6033.5	9756.5
Q9BRT6	Q9BRT6	LLPH	3068.2	2345.4	3429.6	4303.3	2837.6
Q9BRU9	Q9BRU9	UTP23	863.5	444.4	983.3	1527.2	1321.5
Q9BRV8	Q9BRV8	SIKE1	3963.2	4471.1	3624.5		8923.2
Q9BRX2	Q9BRX2	PELO	10087.7	10258.7	10002.1	10577	15556.1
Q9BRX8	Q9BRX8	PRXL2A	26936.9	27752.7	26529	17248.6	15789.5
Q9BRZ2	Q9BRZ2	TRIM56	7856.8	7467.1	8051.6	14157.4	12914.3
Q9BS26	Q9BS26	ERP44	133381.1	142243.7	128949.8	184775.7	215512.1
Q9BS40	Q9BS40	LXN	11026.8	10778.1	11151.2	53554.3	21944.4
Q9BS92	Q9BS92	NIPSNAP3B	6363.9	5393.5	6849.1	8207.5	6392.2
Q9BSC4	Q9BSC4	NOL10	2171	2176.7	2168.1	3518.1	2602.7
Q9BSD7	Q9BSD7	NTPCR	11719.5	10786.2	12186.2	27599	23996.1
Q9BSE4	Q9BSE4	HERPUD2	3447.9	3074.2	3613.9	4998.8	4530.1
Q9BSF4	Q9BSF4	TIMM29	13460.4	13689.6	13345.8	29435.2	14162.8
Q9BSG0	Q9BSG0	PRADC1	524.5	662.5	485.1	2230	732.8
Q9BSG5	Q9BSG5	RTBDN				8224.9	2608.8
Q9BSH4	Q9BSH4	TACO1	8864.3	8969.4	8811.7	6617.3	10493.4
Q9BSH5	Q9BSH5	HDHD3	26355.8	21644.4	28711.4	62274.8	38912.4
Q9BSI4	Q9BSI4	TINF2	1399.2	1140.3	1510.1	1303.8	1844.7
Q9BSJ2	Q9BSJ2	TUBGCP2	11274.1	10831	11495.7	19284	13970.9
Q9BSJ5	Q9BSJ5	C17orf80	32223.1	31197.5	32735.9	56288.5	49342.5
Q9BSJ8	Q9BSJ8	ESYT1	43803.4	54208.5	38600.9	71680.8	83878.5
Q9BSK2	Q9BSK2	SLC25A33	10289.6	11640.1	9614.4	4808.6	10523.5
Q9BSL1	Q9BSL1	UBAC1	4285.4	3486.8	4684.7	11608.7	5548.8
Q9BSQ5	Q9BSQ5	CCM2	2336.3	2374.9	2315.3	5116.7	3281.2
Q9BSR8	Q9BSR8	YIPF4	14743	17684.7	13272.2	8221.1	24810.3
Q9BST9	Q9BST9	RTKN	1549.3	1827.5	1473.5	10435.1	1578.6
Q9BSU1	Q9BSU1	C16orf70	2193	2077.4	2250.7	3394	2199.3
Q9BSV6	Q9BSV6	TSEN34	1208.8	1235.1	1193	3367.8	1316.5
Q9BSW7	Q9BSW7	SYT17	6137.1	6892.7	5759.4	14721.3	10408.9
Q9BT09	Q9BT09	CNPY3	8449.9	7954.5	8697.6	9976.6	11110.9
Q9BT17	Q9BT17	MTG1	13823.4	13282.6	14118.3	8745.2	14071
Q9BT22	Q9BT22	ALG1	29877.7	34191.5	27720.8	27833.5	38322.7
Q9BT23	Q9BT23	LIMD2	9199.9	8894.7	9338.6	5327.2	11413.9
Q9BT25	Q9BT25	HAUS8	2313.9	1601.6	2432.6		1872.1
Q9BT30	Q9BT30	ALKBH7	1747.9	2032	1605.8	5214.7	1894.3
Q9BT40	Q9BT40	INPP5K	1940.7	1678.1	2083.9	1043.5	3180.2
Q9BT43	Q9BT43	POLR3GL	625.8	687	605.4	431.6	515.8
Q9BT67	Q9BT67	NDFIP1	1184	1269.7	1130.3	3179.1	1937.3
Q9BT73	Q9BT73	PSMG3	6321.2	6049.4	6457	9638.4	7279.2
Q9BT78	Q9BT78	COPS4	69827.8	69454.9	70014.3	56304.5	75277.9
Q9BT88	Q9BT88	SYT11	1031.8	1357	706.5		887.8
Q9BTA9	Q9BTA9	WAC	2561	2897.5	2392.8	4056.9	2956.5
Q9BTC0	Q9BTC0	DIDO1	12839.1	12798.7	12859.3	17026.3	9080.4
Q9BTC8	Q9BTC8	MTA3	11866.8	10837.7	12381.3	4835.7	5922.2
Q9BTD8	Q9BTD8	RBM42	10435.5	10397.5	10454.5	10940.3	9096.5
Q9BTE1	Q9BTE1	DCTN5	4193.7	4405.3	4097.6	2328.9	4978.4
Q9BTE3	Q9BTE3	MCMBP	8985.1	8627.1	9164.2	8087.1	13006.2
Q9BTE6	Q9BTE6	AARSD1	20988	19900.3	21531.9	24238	18064.5
Q9BTE7	Q9BTE7	DCUN1D5	8578.5	9504.8	8115.4	7233.5	8277
Q9BTL3	Q9BTL3	RAMAC	4880.8	3952.9	5159.1	4092.9	3153.6
Q9BTM9	Q9BTM9	URM1	3513.2	2924.2	3727.5	2929.6	2896.2
Q9BTT0	Q9BTT0	ANP32E	50967.4	36267.9	58317.2	58274.4	51844.5
Q9BTT6	Q9BTT6	LRRC1	1781.4	1213.3	2065.5	2894.2	2493.3
Q9BTU6	Q9BTU6	PI4K2A	9627.3	10149.5	9366.1	14862.7	11970.8
Q9BTV4	Q9BTV4	TMEM43	28366	21667.1	31715.5	52153.7	52769.6
Q9BTV7	Q9BTV7	CABLES2	1224	968	1366.2		545.9
Q9BTW9	Q9BTW9	TBCD	19457.6	16711.8	20830.5	14051.4	13852.9
Q9BTX1	Q9BTX1	NDC1	8005.8	7948.5	8034.5	16361.2	8161.2
Q9BTX7	Q9BTX7	TTPAL	1179.4	1485.2	975.6	1675.5	1917.3
Q9BTY2	Q9BTY2	FUCA2	19577.4	17215.2	20758.4	13344.8	11914.3
Q9BTY7	Q9BTY7	HGH1	4803.6	3518.4	5446.2	5660.3	4499.8
Q9BTZ2	Q9BTZ2	DHRS4	24640.4	21555.9	26182.6	19856.6	25830.6
Q9BU02	Q9BU02	THTPA	11612.5	11139.4	11849	24421.5	16666.1
Q9BU23	Q9BU23	LMF2	31681.2	36539.9	29251.9	63776.9	40710.6
Q9BU61	Q9BU61	NDUFAF3	14915.9	13358.1	15694.8	26063.3	15782.1
Q9BU68	Q9BU68	PRR15L	2010.1	2668.2	1681.1	3576.4	1631.8
Q9BU76	Q9BU76	MMTAG2	7679.6	6608	8215.4	8934.9	7225.9
Q9BU79	Q9BU79	TMEM243					3677.6
Q9BU89	Q9BU89	DOHH	4393.7	4170.5	4505.3	11708.4	5535.9
Q9BUB4	Q9BUB4	ADAT1	2240.5	2121.5	2306.6		2610.3
Q9BUB5	Q9BUB5	MKNK1	974.9	1123.1	863.7	3898.3	1490.2
Q9BUB7	Q9BUB7	TMEM70	22312.4	25048.2	20944.5	13567.9	33696
Q9BUD6	Q9BUD6	SPON2	3343.5	4846.5	2742.4	2901.9	5188.4
Q9BUE0	Q9BUE0	MED18	6106.4	5721.3	6299	5711.9	4088
Q9BUE6	Q9BUE6	ISCA1	11593.6	10972.4	11904.2	29319.7	18492.6
Q9BUF5	Q9BUF5	TUBB6	8379.6	2999.6	11069.6	9977.5	21386.5
Q9BUF7	Q9BUF7	CRB3	1311.7	2200.2	956.3	956.7	1279.6
Q9BUH6	Q9BUH6	PAXX	18647.6	15769.2	20086.7	20681.3	25198.5
