category	parent	database	scope	aspect	source	uniprot	genesymbol	entity_type	consensus_score	transmitter	receiver	secreted	plasma_membrane_transmembrane	plasma_membrane_peripheral
ligand	ligand	OmniPath	generic	functional	composite	P10451	SPP1	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P55103	INHBC	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P18206	VCL	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P48061	CXCL12	protein	20	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q08380	LGALS3BP	protein	7	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P13762	HLA-DRB4	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q15238	PSG5	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NP95	FGF20	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9Y6W8	ICOS	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8WXF3	RLN3	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8IYV9	IZUMO1	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O00182	LGALS9	protein	8	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P48023	FASLG	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UXB2	CXCL17	protein	5	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q7Z4H4	ADM2	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O60258	FGF17	protein	18	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P10720	PF4V1	protein	6	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P21854	CD72	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P46531	NOTCH1	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q13753	LAMC2	protein	7	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9HD89	RETN	protein	6	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q15465	SHH	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P05231	IL6	protein	21	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q99969	RARRES2	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NRJ3	CCL28	protein	19	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O14788	TNFSF11	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q92583	CCL17	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95171	SCEL	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9UMD9	COL17A1	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P21781	FGF7	protein	18	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8WWG1	NRG4	protein	18	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P14735	IDE	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P10147	CCL3	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P07477	PRSS1	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P35442	THBS2	protein	8	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8IZD2	KMT2E	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P43026	GDF5	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O00548	DLL1	protein	10	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P30203	CD6	protein	3	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01127	PDGFB	protein	18	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P56975	NRG3	protein	17	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q13410	BTN1A1	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q86WN2	IFNE	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P80511	S100A12	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9P283	SEMA5B	protein	0	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P31949	S100A11	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
