Protein.Ids	Genes	sorted.avg	sorted.CV	sorted.%	unsorted.avg	unsorted.CV	unsorted.%	stem.mean	stem.CV	stem.%	ND.mean	ND.CV	ND.%	T2D.mean	T2D.CV	T2D.%	human.mean	human.CV	human.%
Q9UJ14	GGT7	5246.70	25	100	4339.81	31	100	4692.49	29	100	11496.48	15	100	10478.55	16.05987366	100	11381.68	15.53249353	100
Q9UJ41	RABGEF1	9299.54	11	100	9011.48	11	100	9123.50	11	100	10127.90	9	100	10235.50	6.292646536	100	10140.04	9.13829432	100
Q9UJ55	MAGEL2	2756.07	31	100	2532.99	35	91	2624.84	33	94	2093.15	36	92	2430.97	70.79219256	86.66666667	2129.45	42.51644072	90.97744361
Q9UJ68	MSRA	10906.76	22	100	8998.81	16	100	9740.79	21	100	7669.54	17	100	7921.29	16.3486331	100	7697.93	17.31412097	100
Q9UJ70	NAGK	57911.43	11	100	52656.02	10	100	54699.79	11	100	52910.46	9	100	56533.87	14.2541397	100	53319.11	10.34864564	100
Q9UJ83	HACL1	10929.37	25	100	10627.28	23	100	10744.76	23	100	7540.68	22	100	8498.23	19.54441716	100	7648.67	21.91789065	100
Q9UJA5	TRMT6	8235.18	10	100	8369.43	11	100	8317.22	11	100	10242.39	13	100	10672.33	13.28883625	100	10290.88	13.39443156	100
Q9UJC3	HOOK1	10961.28	15	100	10100.07	12	100	10434.98	14	100	13797.84	11	100	12451.59	10.73985447	100	13646.01	11.72962968	100
Q9UJC5	SH3BGRL2	6553.90	25	100	8181.10	25	100	7548.30	27	100	8311.81	25	100	8533.14	23.05533017	100	8336.77	24.5338451	100
Q9UJF2	RASAL2	2190.90	25	100	2607.75	18	100	2445.65	22	100	4223.60	23	100	4131.76	32.90272332	100	4213.24	23.76368101	100
Q9UJH8	METRN	6625.04	18	100	5928.59	26	100	6199.43	23	100	8343.20	28	98	8017.17	29.82916551	93.33333333	8308.09	28.22555614	97.7443609
Q9UJJ9	GNPTG	5118.15	36	100	4362.63	17	100	4656.44	28	100	5769.40	24	100	6102.23	25.11474988	100	5806.94	24.1756434	100
Q9UJK0	TSR3	2406.34	30	71	1390.84	39	55	1852.43	43	61	1978.11	35	87	1922.50	33.21892123	100	1971.04	34.68692626	88.72180451
Q9UJM8	HAO1			0			0			0	1259.61	40	75	1583.74	55.32824938	80	1298.12	43.41892886	75.93984962
Q9UJS0	SLC25A13	111995.01	13	100	100178.89	14	100	104774.05	14	100	50675.89	14	100	45740.73	13.30529564	100	50119.29	13.83807051	100
Q9UJT0	TUBE1	844.51	41	100	1230.97	22	100	1080.68	33	100	1110.46	31	92	1194.61	24.48083288	100	1120.64	30.00891245	93.23308271
Q9UJU6	DBNL	60621.46	19	100	55365.05	7	100	57409.21	14	100	50451.04	10	100	52316.53	11.41063309	100	50661.43	10.08626692	100
Q9UJV9	DDX41	10736.93	11	100	12167.75	9	100	11611.32	11	100	9588.72	9	100	10124.57	7.629418909	100	9649.15	8.69157232	100
Q9UJW0	DCTN4	26172.34	10	100	22785.63	6	100	24102.69	10	100	24383.24	13	100	23129.05	11.2901098	100	24241.79	12.67895184	100
Q9UJX2	CDC23	8447.03	15	100	9858.31	9	100	9309.48	13	100	7630.36	12	100	7779.86	9.50280616	100	7647.22	11.36522284	100
Q9UJX3	ANAPC7	5694.32	8	100	6041.25	18	100	5906.33	15	100	6211.13	12	100	6045.20	12.72528553	100	6192.42	12.11960769	100
Q9UJX4	ANAPC5	7666.45	15	100	7671.72	12	100	7669.67	12	100	6795.12	13	100	6812.35	9.347529044	100	6797.07	12.19417247	100
Q9UJX5	ANAPC4	3798.30	8	100	4363.81	14	100	4143.89	14	100	3897.13	15	100	3726.80	19.67809491	100	3877.92	15.69502097	100
Q9UJX6	ANAPC2	5208.69	24	100	5343.24	15	100	5290.92	18	100	4509.52	18	100	4487.58	14.22044564	100	4507.04	17.78152991	100
Q9UJY1	HSPB8			0	9628.48	84	73	9628.48	84	44	6956.92	27	17	8718.59	38.54289094	40	7363.46	31.62007861	19.54887218
Q9UJY4	GGA2	11354.09	13	100	11780.28	10	100	11614.54	11	100	17615.68	16	100	15607.33	22.47263964	100	17389.17	16.66091292	100
Q9UJY5	GGA1	10665.22	12	100	10202.59	4	100	10382.50	8	100	13137.06	13	100	12865.62	11.72178193	100	13106.45	12.58651179	100
Q9UJZ1	STOML2	114330.65	20	100	124928.05	11	100	120806.84	15	100	135078.10	15	100	124843.23	11.66645708	100	133923.79	14.57160158	100
Q9UK22	FBXO2	3797.48	36	100	3159.77	38	100	3407.77	37	100	6029.00	26	100	6978.84	32.1364418	100	6136.12	27.08993335	100
Q9UK23	NAGPA	1297.62	25	100	1296.37	28	73	1296.95	26	83	1721.84	40	80	1430.69	38.87549229	80	1688.88	40.57986002	79.69924812
Q9UK33	ZNF580	2973.81	33	57	2572.05	28	45	2750.61	30	50	2788.92	41	25	2959.36	11.0267628	20	2804.42	38.64133868	24.81203008
Q9UK39	NOCT	1454.33	35	100	1431.47	32	100	1440.36	32	100	1900.92	66	95	2048.50	55.9893553	100	1918.35	64.66648872	95.4887218
Q9UK41	VPS28	14893.63	12	100	14709.00	9	100	14780.80	10	100	16455.66	12	100	17066.46	8.382174493	100	16524.55	11.59364847	100
Q9UK45	LSM7.00	5605.18	34	100	6496.01	18	100	6149.58	24	100	5641.17	35	99	5892.00	25.96620248	100	5669.67	33.69885572	99.2481203
Q9UK55	SERPINA10	2822.85	57	100	2701.55	31	91	2751.49	42	94	2316.34	33	86	2753.99	22.34504435	73.33333333	2359.32	32.42150753	84.21052632
Q9UK58	CCNL1	543.53	56	86	938.57	27	100	799.15	41	94	781.77	37	97	791.75	49.6890503	100	782.93	38.63491601	96.9924812
Q9UK59	DBR1	16525.11	8	100	18260.95	10	100	17585.90	10	100	16167.66	11	100	16250.82	8.296068232	100	16177.03	10.51161715	100
Q9UK61	TASOR	7100.04	10	100	7010.08	11	100	7045.06	10	100	5633.08	11	100	6176.15	13.59637685	100	5694.33	11.63000234	100
Q9UK76	JPT1	2559.22	25	100	3493.54	19	100	3130.20	25	100	2568.98	37	97	3047.94	30.41976029	100	2624.67	36.60809517	96.9924812
Q9UK97	FBXO9	4855.31	24	100	2777.15	43	100	3585.32	43	100	3280.99	31	99	3230.39	27.4759808	100	3275.24	30.12628692	99.2481203
Q9UK99	FBXO3	10022.90	12	100	9000.41	17	100	9398.04	16	100	9529.63	17	100	10204.52	8.742781043	100	9605.75	16.23475797	100
Q9UKA2	FBXL4	311.69	41	100	192.71	53	100	238.98	52	100	168.56	46	91	138.89	45.13511195	93.33333333	165.13	45.88518533	90.97744361
Q9UKA4	AKAP11	1549.53	15	71	1627.68	33	82	1599.77	28	78	2422.39	35	96	2275.87	29.51595434	93.33333333	2406.24	34.47479915	95.4887218
Q9UKA8	RCAN3	4875.94	28	100	3944.68	25	100	4306.84	28	100	5278.36	20	100	4511.00	34.78121115	100	5191.81	22.40075215	100
Q9UKA9	PTBP2	33930.14	20	100	44279.59	29	100	40254.80	30	100	21064.67	21	100	21606.35	25.09234256	100	21125.76	21.77493876	100
Q9UKB3	DNAJC12	26827.34	36	100	22948.64	39	100	24457.02	38	100	30880.19	27	100	23988.86	40.40955788	100	30102.98	29.37870643	100
Q9UKD1	GMEB2	4533.76	17	100	4698.14	17	100	4634.21	17	100	4907.09	19	98	5543.39	16.22449192	100	4979.95	19.08663771	98.4962406
Q9UKD2	MRTO4	812184.81	16	100	960525.94	14	100	902837.72	17	100	925348.56	16	100	1105706.09	12.37356318	100	945689.63	16.96570333	100
Q9UKE5	TNIK	2971.10	39	100	3279.96	43	100	3159.85	41	100	5024.05	22	100	4416.13	20.19984391	100	4955.49	21.83500698	100
Q9UKF6	CPSF3	19717.35	14	100	21534.74	10	100	20827.98	12	100	17366.16	8	100	17802.77	8.740038268	100	17415.40	7.877981927	100
Q9UKF7	PITPNC1	9641.15	19	100	9727.52	20	100	9693.93	19	100	29895.48	19	100	30871.06	17.33886473	100	30005.51	18.68480532	100
Q9UKG1	APPL1	64188.81	18	100	62649.59	34	100	63248.18	28	100	61289.02	10	100	63425.80	10.57049587	100	61530.01	9.84926852	100
Q9UKG9	CROT	3098.70	22	100	3992.07	44	100	3644.65	40	100	3500.41	19	100	3750.76	21.5368871	100	3528.65	19.30787712	100
Q9UKI2	CDC42EP3	613.84	32	100	504.07	37	100	546.76	35	100	640.04	41	92	493.48	31.47599296	86.66666667	624.30	40.72939004	90.97744361
Q9UKI8	TLK1	4837.76	17	100	5947.85	12	100	5516.15	17	100	5661.31	10	100	5545.36	12.60960646	100	5648.24	10.60517089	100
Q9UKJ3	GPATCH8	2167.10	54	100	2737.13	22	100	2515.45	35	100	2302.73	22	100	2683.33	24.63380662	100	2345.65	23.04842659	100
