hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_down_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_down_in_SCbeta_melton2019_score	scRNA_down_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_down_in_SCislet_score	all_sc_proteomics_score	proteomics_down_in_sc_score	aggregate_score
CCL3	0.48931116389548696	0.5938242280285035	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.47980997624703087
CCL3L1	0.48931116389548696	0.498812351543943	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.5961995249406176
CCL3L3	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL4	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL4L2	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCL5	0.48931116389548696	0.43705463182897863	0	0.2992874109263658	0.9548693586698337	0	0.6294536817102138	0	0.09501187648456057	0	0.8456057007125891
CCL7	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.8479809976247031
CCL8	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CCN1	0.48931116389548696	0.36104513064133015	0	0.7387173396674585	0	0	0.2327790973871734	0	0.052256532066508314	0	0.41330166270783847
CCN2	0.33729216152019004	0.20902612826603326	0	0.7387173396674585	0	0	0.13064133016627077	0	0.09501187648456057	0	0.2494061757719715
CCN3	0.3586698337292161	0.38954869358669836	0	0.7387173396674585	0	0	0.23990498812351543	0	0.09501187648456057	0	0.3752969121140142
CCN6	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.5629453681710214	0	0.09501187648456057	0	0.6033254156769596
CD5L	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CD70	0.48931116389548696	0.5724465558194775	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.47268408551068886
CGA	0.1543942992874109	0.2494061757719715	0	0.26128266033254155	0	0	0.3847980997624703	0	0.09501187648456057	0	0.15201900237529692
CGB3	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CGB5	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.9239904988123515
CGB8	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CGN	0.07600950118764846	0.04275534441805225	0	0.07838479809976247	0	0	0.05463182897862233	0	0.035629453681710214	0.9643705463182898	0.16389548693586697
CLCF1	0.48931116389548696	0.4584323040380047	0	0.2992874109263658	0	0	0.3586698337292161	0	0.09501187648456057	0	0.3087885985748218
CORT	0.48931116389548696	0.5724465558194775	0	0.2992874109263658	0	0	0.37767220902612825	0	0.09501187648456057	0	0.33966745843230406
CRH	0.2375296912114014	0.32066508313539194	0	0.12589073634204276	0	0	0.12826603325415678	0	0.09263657957244656	0.9928741092636579	0.42755344418052255
CSF1	0.48931116389548696	0.37054631828978624	0	0.2992874109263658	0	0	0.24228028503562946	0	0.09501187648456057	0	0.23990498812351543
CSF2	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CSF3	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
CSH1	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CSH2	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.8479809976247031
CSHL1	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
CTF1	0.27315914489311166	0.17814726840855108	0	0.20190023752969122	0	0	0.3515439429928741	0	0.09501187648456057	0	0.14014251781472684
CX3CL1	0.25415676959619954	0.16864608076009502	0	0.2589073634204275	0.8432304038004751	0	0.21852731591448932	0	0.09501187648456057	0	0.3919239904988123
CXCL1	0.48931116389548696	0.36104513064133015	0	0.27790973871733965	0	0	0.15201900237529692	0	0.09501187648456057	0	0.21852731591448932
CXCL10	0.48931116389548696	0.5249406175771971	0	0.2992874109263658	0	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.836104513064133
CXCL11	0.4323040380047506	0.5724465558194775	0	0.2992874109263658	0	0	0.5629453681710214	0	0.09501187648456057	0	0.3990498812351544
CXCL12	0.0665083135391924	0.06175771971496437	0	0.023752969121140142	0	0	0.05938242280285035	0	0.09501187648456057	0	0.023752969121140142
CXCL13	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.5629453681710214	0	0.09501187648456057	0	0.6033254156769596
CXCL14	0.11163895486935867	0.15201900237529692	0	0.2992874109263658	0	0	0.3847980997624703	0	0.09501187648456057	0	0.1330166270783848
CXCL17	0.48931116389548696	0.498812351543943	0	0.2992874109263658	0	0	0.49406175771971494	0.850356294536817	0.09501187648456057	0	0.8123515439429929
CXCL2	0.48931116389548696	0.4584323040380047	0	0.2992874109263658	0	0	0.3586698337292161	0.836104513064133	0.09501187648456057	0	0.7933491686460807
CXCL3	0.4323040380047506	0.33966745843230406	0	0.2992874109263658	0	0	0.3919239904988123	0	0.09501187648456057	0	0.2684085510688836
CXCL5	0.3919239904988123	0.2992874109263658	0	0.13539192399049882	0	0	0.31353919239904987	0	0.09501187648456057	0	0.17814726840855108
CXCL6	0.32066508313539194	0.27078384798099764	0	0.2992874109263658	0	0	0.24465558194774348	0	0.09501187648456057	0	0.17814726840855108
CXCL8	0.48931116389548696	0.498812351543943	0	0.2992874109263658	0.9881235154394299	0	0.26128266033254155	0.8099762470308789	0.09501187648456057	0	0.9524940617577197
CXCL9	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
DEFB1	0.4323040380047506	0.4584323040380047	0	0.2992874109263658	0	0	0.5629453681710214	0.8646080760095012	0.09501187648456057	0	0.8147268408551069
DEFB103A	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
DEFB103B	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
DEFB4A	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
DEFB4B	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.5629453681710214	0	0.09501187648456057	0	0.6033254156769596
DHH	0.3919239904988123	0.334916864608076	0	0.7387173396674585	0	0	0.47030878859857483	0	0.09501187648456057	0	0.5463182897862233
DKK1	0.48931116389548696	0.5938242280285035	0	0.2992874109263658	0	0	0.29691211401425177	0	0.09501187648456057	0	0.3182897862232779
DKK2	0.4323040380047506	0.4584323040380047	0	0.2992874109263658	0	0	0.4014251781472684	0	0.09501187648456057	0	0.30641330166270786
DLK1	0.0023752969121140144	0.004750593824228029	0	0.0023752969121140144	0	0	0.009501187648456057	0	0.09501187648456057	0	0.004750593824228029
EBI3	0.48931116389548696	0.498812351543943	0	0.2992874109263658	0	0	0.5629453681710214	0	0.09501187648456057	0	0.4180522565320665
EDA	0.2684085510688836	0.16864608076009502	0	0.2826603325415677	0.9643705463182898	0	0.17814726840855108	0	0.09501187648456057	0	0.4655581947743468
EDIL3	0.04513064133016627	0.047505938242280284	0	0.040380047505938245	0.8646080760095012	0	0.023752969121140142	0	0.03800475059382423	0.9857482185273159	0.47743467933491684
EDN1	0.4323040380047506	0.31353919239904987	0	0.2992874109263658	0	0	0.30403800475059384	0	0.09501187648456057	0	0.22802850356294538
EDN2	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0.9596199524940617	0.09501187648456057	0	0.8836104513064132
EDN3	0.3919239904988123	0.3087885985748218	0.9857482185273159	0.0688836104513064	0.9596199524940617	0	0.07125890736342043	0.8408551068883611	0.0166270783847981	0.9691211401425178	1
EFNA1	0.20902612826603326	0.14251781472684086	0	0.11401425178147269	0	0	0.1995249406175772	0	0.09501187648456057	0	0.09263657957244656
EFNA4	0.32066508313539194	0.2209026128266033	0	0.22327790973871733	0	0	0.28741092636579574	0	0.09501187648456057	0	0.1543942992874109
EGF	0.48931116389548696	0.5724465558194775	0	0.2992874109263658	0	0	0.47030878859857483	0	0.09501187648456057	0	0.37767220902612825
