Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
Q32M88,Q32M88,,PGGHG,,
Q32MZ4,Q32MZ4,,LRRFIP1,,9265.3
Q32NB8,Q32NB8,,PGS1,,2199.88
Q32P28,Q32P28,,P3H1,,3493.29
Q32P41,Q32P41,,TRMT5,,2697.42
Q32P44,Q32P44,,EML3,,6642.64
Q330K2,Q330K2,,NDUFAF6,,1351.06
Q3B726,Q3B726,,POLR1F,,1105.78
Q3B7J2,Q3B7J2,,GFOD2,,889.345
Q3B7T1,Q3B7T1,,EDRF1,,
Q3KQU3,Q3KQU3,,MAP7D1,,5600.22
Q3KQV9,Q3KQV9,,UAP1L1,,6300.09
Q3KQZ1,Q3KQZ1,,SLC25A35,,1844.51
Q3KRA6,Q3KRA6,,C2orf76,,
Q3LXA3,Q3LXA3,,TKFC,,20600.2
Q3MHD2,Q3MHD2,,LSM12.00,,7695.77
Q3MIN7,Q3MIN7,,RGL3,,2725.18
Q3MIR4,Q3MIR4,,TMEM30B,,905.97
Q3MIX3,Q3MIX3,,ADCK5,,767.086
Q3SXM5,Q3SXM5,,HSDL1,,7622.4
Q3SY17,Q3SY17,,SLC25A52,,627.591
Q3SY69,Q3SY69,,ALDH1L2,,46601.5
Q3SYG4,Q3SYG4,,BBS9,,1466.03
Q3V6T2,Q3V6T2,,CCDC88A,,546.041
Q3YBM2,Q3YBM2,,TMEM176B,,
Q3YEC7,Q3YEC7,,RABL6,,25537.4
Q3ZAQ7,Q3ZAQ7,,VMA21,,6384.04
Q3ZCM7,Q3ZCM7,,TUBB8,,
Q3ZCQ3,Q3ZCQ3,,FAM174B,,1706.23
Q3ZCQ8,Q3ZCQ8,,TIMM50,,12339.2
Q3ZCW2,Q3ZCW2,,LGALSL,,3897.06
Q460N5,Q460N5,,PARP14,,1020.28
Q495W5,Q495W5,,FUT11,,2311.64
Q49A26,Q49A26,,GLYR1,,18121.4
Q49AN0,Q49AN0,,CRY2,,1650.84
Q49AR2,Q49AR2,,C5orf22,,
Q4G0F5,Q4G0F5,,VPS26B,,11441.4
Q4G0I0,Q4G0I0,,CCSMST1,,1216.9
Q4G0J3,Q4G0J3,,LARP7,,7870.38
Q4G0N4,Q4G0N4,,NADK2,,8123.62
Q4G0X4,Q4G0X4,,KCTD21,,2476.02
Q4G148,Q4G148,,GXYLT1,,
Q4G176,Q4G176,,ACSF3,,6215.33
Q4J6C6,Q4J6C6,,PREPL,,6834.99
Q4KMP7,Q4KMP7,,TBC1D10B,,2102.36
Q4KMQ1,Q4KMQ1,,TPRN,,563.39
Q4KMQ2,Q4KMQ2,,ANO6,,1665.51
Q4KWH8,Q4KWH8,,PLCH1,,1967.22
Q4L180,Q4L180,,FILIP1L,,
Q4LE39,Q4LE39,,ARID4B,,2240.38
Q4U2R6,Q4U2R6,,MRPL51,,3260.43
Q4V328,Q4V328,,GRIPAP1,,13203.9
Q4V9L6,Q4V9L6,,TMEM119,,4332.33
Q4VC05,Q4VC05,,BCL7A,,451.165
Q4VC31,Q4VC31,,CCDC58,,7850.49
Q4VCS5,Q4VCS5,,AMOT,,910.468
Q4VXU2,Q4VXU2,,PABPC1L,,
Q4ZIN3,Q4ZIN3,,TMEM259,,644.504
Q502W6,Q502W6,,VWA3B,,7905.46
Q504Q3,Q504Q3,,PAN2,,1040.14
Q50LG9,Q50LG9,,LRRC24,,
Q52LJ0,Q52LJ0,,FAM98B,,19838.5
Q52LR7,Q52LR7,,EPC2,,519.019
Q53EL6,Q53EL6,,PDCD4,,38447
Q53EP0,Q53EP0,,FNDC3B,,3291.45
Q53ET0,Q53ET0,,CRTC2,,1861.73
Q53F19,Q53F19,,NCBP3,,6407.17
Q53FA7,Q53FA7,,TP53I3,,17653.6
Q53FT3,Q53FT3,,HIKESHI,,3102.74
Q53FZ2,Q53FZ2,,ACSM3,,4376.56
Q53GG5,Q53GG5,,PDLIM3,,4921.24
Q53GL7,Q53GL7,,PARP10,,1442.92
Q53GQ0,Q53GQ0,,HSD17B12,,58698.2
Q53GS7,Q53GS7,,GLE1,,2323.7
Q53GS9,Q53GS9,,USP39,,8748.73
Q53GT1,Q53GT1,,KLHL22,,2933.18
Q53H12,Q53H12,,AGK,,6135.25
Q53H47,Q53H47,,SETMAR,,3390.88
Q53H82,Q53H82,,LACTB2,,5368.18
Q53H96,Q53H96,,PYCR3,,3249.24
Q53HC0,Q53HC0,,CCDC92,,2405.7
Q53HC9,Q53HC9,,EIPR1,,10969.5
Q53HV7,Q53HV7,,SMUG1,,1513.44
Q53LP3,Q53LP3,,SOWAHC,,1264.77
Q53R41,Q53R41,,FASTKD1,,
Q53RD9,Q53RD9,,FBLN7,,2733.91
Q53S33,Q53S33,,BOLA3,,3118.37
Q53S58,Q53S58,,TMEM177,,4323.7
Q53SF7,Q53SF7,,COBLL1,,10327.4
Q53T59,Q53T59,,HS1BP3,,8690.76
Q53TN4,Q53TN4,,CYBRD1,,10325.2
Q562E7,Q562E7,,WDR81,,5267.94
Q562R1,Q562R1,,ACTBL2,,44616.7
Q567U6,Q567U6,,CCDC93,,8194.28
Q567V2,Q567V2,,MPV17L2,,
Q56VL3,Q56VL3,,OCIAD2,,11400.7
Q587I9,Q587I9,,SFT2D3,,4391.73
Q58DX5,Q58DX5,,NAALADL2,,728.405
Q58FF6,Q58FF6,,HSP90AB4P,,
Q58WW2,Q58WW2,,DCAF6,,1349.15
Q59EK9,Q59EK9,,RUNDC3A,,8406.1
Q5BJD5,Q5BJD5,,TMEM41B,,6960.34
Q5BJF2,Q5BJF2,,TMEM97,,15689.3
Q5BJH2,Q5BJH2,,TMEM128,,3790.26
Q5BJH7,Q5BJH7,,YIF1B,,1465.95
Q5BKZ1,Q5BKZ1,,ZNF326,,10870.6
Q5C9Z4,Q5C9Z4,,NOM1,,1089.7
Q5D862,Q5D862,,FLG2,,310.904
Q5DX21,Q5DX21,,IGSF11,,1173.79
Q5EB52,Q5EB52,,MEST,,
Q5EBL4,Q5EBL4,,RILPL1,,599.346
Q5EBL8,Q5EBL8,,PDZD11,,5590.19
Q5EBM0,Q5EBM0,,CMPK2,,3911.64
Q5F1R6,Q5F1R6,,DNAJC21,,2053.72
Q5GLZ8,Q5GLZ8,,HERC4,,8058.85
Q5H8A4,Q5H8A4,,PIGG,,3607.13
Q5H9E4,Q5H9E4,,SLC25A53,,1863.28
Q5H9L2,Q5H9L2,,TCEAL5,,27049.9
Q5H9R4,Q5H9R4,,ARMCX4,,365.517
Q5H9R7,Q5H9R7,,PPP6R3,,3949.61
Q5HYA8,Q5HYA8,,TMEM67,,22840.1
Q5HYI7,Q5HYI7,,MTX3,,8208.84
Q5HYI8,Q5HYI8,,RABL3,,16118.5
Q5HYJ3,Q5HYJ3,,FAM76B,,
Q5HYK3,Q5HYK3,,COQ5,,6383.32
Q5HYK7,Q5HYK7,,SH3D19,,
Q5J8M3,Q5J8M3,,EMC4,,3859.86
Q5JPE7,Q5JPE7,,NOMO2,,39429.7
Q5JPH6,Q5JPH6,,EARS2,,5453.43
Q5JPI3,Q5JPI3,,C3orf38,,460.454
Q5JPI9,Q5JPI9,,EEF1AKMT2,,1000.02
Q5JR59,Q5JR59,,MTUS2,,2648.51
Q5JRA6,Q5JRA6,,MIA3,,17072.5
Q5JRX3,Q5JRX3,,PITRM1,,28240.9
Q5JS37,Q5JS37,,NHLRC3,,6737.33
Q5JSH3,Q5JSH3,,WDR44,,14625.1
Q5JSP0,Q5JSP0,,FGD3,,1235.61
Q5JSZ5,Q5JSZ5,,PRRC2B,,4162.29
Q5JTD0,Q5JTD0,,TJAP1,,1825.54
Q5JTH9,Q5JTH9,,RRP12,,7881.57
Q5JTJ3,Q5JTJ3,,COA6,,1138.43
Q5JTV8,Q5JTV8,,TOR1AIP1,,39933.7
Q5JTZ9,Q5JTZ9,,AARS2,,9969.51
Q5JVF3,Q5JVF3,,PCID2,,3081.97
Q5JVS0,Q5JVS0,,HABP4,,5871.09
Q5JWF2,Q5JWF2,,GNAS,,22416.1
Q5JWR5,Q5JWR5,,DOP1A,,
Q5JY77,Q5JY77,,GPRASP1,,1506.1
Q5K4L6,Q5K4L6,,SLC27A3,,5839.04
Q5K651,Q5K651,,SAMD9,,687.099
Q5M775,Q5M775,,SPECC1,,706.411
Q5M8T2,Q5M8T2,,SLC35D3,,1903.26
Q5MIZ7,Q5MIZ7,,PPP4R3B,,2924.63
Q5MNZ6,Q5MNZ6,,WDR45B,,22421.3
Q5NDL2,Q5NDL2,,EOGT,,
Q5PRF9,Q5PRF9,,SAMD4B,,2863.43
Q5QJ74,Q5QJ74,,TBCEL,,5716.59
Q5QJE6,Q5QJE6,,DNTTIP2,,4437.03
Q5QNW6,Q5QNW6,,H2BC18,,3259.82
Q5QP82,Q5QP82,,DCAF10,,515.234
Q5R372,Q5R372,,RABGAP1L,,3601.69
Q5R3I4,Q5R3I4,,TTC38,,10100.5
Q5RI15,Q5RI15,,COX20,,4351.82
Q5RKV6,Q5RKV6,,EXOSC6,,5705.1
Q5SGD2,Q5SGD2,,PPM1L,,9312.51
Q5SNT2,Q5SNT2,,TMEM201,,4662.61
Q5SQI0,Q5SQI0,,ATAT1,,2205.39
Q5SQN1,Q5SQN1,,SNAP47,,
Q5SRE5,Q5SRE5,,NUP188,,3559.87
Q5SRE7,Q5SRE7,,PHYHD1,,2357.46
Q5SRH9,Q5SRH9,,TTC39A,,2738.78
Q5SRI9,Q5SRI9,,MANEA,,1127.76
Q5SSJ5,Q5SSJ5,,HP1BP3,,155021
Q5ST30,Q5ST30,,VARS2,,1847.71
Q5SVS4,Q5SVS4,,SLC25A30,,
Q5SW79,Q5SW79,,CEP170,,4306.81
Q5SW96,Q5SW96,,LDLRAP1,,2108.17
Q5SWX8,Q5SWX8,,ODR4,,7544.71
Q5SXH7,Q5SXH7,,PLEKHS1,,624.226
Q5SXM2,Q5SXM2,,SNAPC4,,
Q5SXM8,Q5SXM8,,DNLZ,,1803.84
Q5SY16,Q5SY16,,NOL9,,7365.84
Q5SYC1,Q5SYC1,,CLVS2,,
Q5SZK8,Q5SZK8,,FREM2,,342.895
Q5SZQ8,Q5SZQ8,,CELF3,,11159.6
Q5T011,Q5T011,,SZT2,,1877.06
Q5T013,Q5T013,,HYI,,7812.11
Q5T0D9,Q5T0D9,,TPRG1L,,1095.26
Q5T0F9,Q5T0F9,,CC2D1B,,6145.51
Q5T0N5,Q5T0N5,,FNBP1L,,7753.82
Q5T160,Q5T160,,RARS2,,3269.31
Q5T1C6,Q5T1C6,,THEM4,,
Q5T1J5,Q5T1J5,,CHCHD2P9,,39744.1
Q5T1M5,Q5T1M5,,FKBP15,,7668.73
Q5T1V6,Q5T1V6,,DDX59,,877.203
Q5T200,Q5T200,,ZC3H13,,5288.39
Q5T280,Q5T280,,SPOUT1,,4766.15
Q5T2E6,Q5T2E6,,ARMH3,,3566.2
Q5T2T1,Q5T2T1,,MPP7,,4741.01
Q5T2W1,Q5T2W1,,PDZK1,,9533.64
Q5T3F8,Q5T3F8,,TMEM63B,,3597.11
Q5T440,Q5T440,,IBA57,,14579.2
Q5T447,Q5T447,,HECTD3,,4695.34
Q5T4F4,Q5T4F4,,ZFYVE27,,4009.07
Q5T4S7,Q5T4S7,,UBR4,,9849.18
Q5T5C0,Q5T5C0,,STXBP5,,20359
Q5T5P2,Q5T5P2,,KIAA1217,,7714.71
Q5T5U3,Q5T5U3,,ARHGAP21,,664.096
Q5T5Y3,Q5T5Y3,,CAMSAP1,,893.607
Q5T653,Q5T653,,MRPL2,,6674.13
Q5T6F2,Q5T6F2,,UBAP2,,3039.45
Q5T6J7,Q5T6J7,,IDNK,,6386.36
Q5T6V5,Q5T6V5,,C9orf64,,8626.77
Q5T6X4,Q5T6X4,,FAM162B,,
Q5T749,Q5T749,,KPRP,,332.282
Q5T7N3,Q5T7N3,,KANK4,,2721.4
Q5T7V8,Q5T7V8,,GORAB,,780.488
Q5T7W0,Q5T7W0,,ZNF618,,1359.03
Q5T8D3,Q5T8D3,,ACBD5,,3331.08
Q5T8P6,Q5T8P6,,RBM26,,9486
Q5T9A4,Q5T9A4,,ATAD3B,,8838.51
Q5T9C2,Q5T9C2,,FAM102A,,164.626
Q5T9L3,Q5T9L3,,WLS,,1294.96
Q5TA45,Q5TA45,,INTS11,,2600.09
Q5TAQ9,Q5TAQ9,,DCAF8,,5479.8
Q5TAX3,Q5TAX3,,TUT4,,1604.34
Q5TBA9,Q5TBA9,,FRY,,1932.59
Q5TBB1,Q5TBB1,,RNASEH2B,,990.763
Q5TC12,Q5TC12,,ATPAF1,,3837.32
Q5TC82,Q5TC82,,RC3H1,,986.328
Q5TCZ1,Q5TCZ1,,SH3PXD2A,,1597.25
Q5TDH0,Q5TDH0,,DDI2,,16850.1
Q5TEC6,Q5TEC6,,H3-2,,498397
Q5TEU4,Q5TEU4,,NDUFAF5,,5156.83
Q5TF21,Q5TF21,,SOGA3,,8709.53
Q5TF39,Q5TF39,,MFSD4B,,3261.12
Q5TFE4,Q5TFE4,,NT5DC1,,4693.56
Q5TGY3,Q5TGY3,,AHDC1,,1356.37
Q5TGZ0,Q5TGZ0,,MICOS10,,1842.89
Q5TH69,Q5TH69,,ARFGEF3,,10262.3
Q5THJ4,Q5THJ4,,VPS13D,,2927.81
Q5TZA2,Q5TZA2,,CROCC,,7687.9
Q5U5X0,Q5U5X0,,LYRM7,,9565.11
Q5U651,Q5U651,,RASIP1,,6603.81
Q5UCC4,Q5UCC4,,EMC10,,4528.13
Q5UIP0,Q5UIP0,,RIF1,,2352.61
Q5VIR6,Q5VIR6,,VPS53,,7195.74
Q5VSG8,Q5VSG8,,MANEAL,,1653.45
Q5VSL9,Q5VSL9,,STRIP1,,6791.9
Q5VST6,Q5VST6,,ABHD17B,,
Q5VSY0,Q5VSY0,,GKAP1,,1691.1
Q5VT06,Q5VT06,,CEP350,,1087.33
Q5VT25,Q5VT25,,CDC42BPA,,4040.01
Q5VT52,Q5VT52,,RPRD2,,6629.86
Q5VTB9,Q5VTB9,,RNF220,,4953.36
Q5VTE6,Q5VTE6,,ANGEL2,,
Q5VTL8,Q5VTL8,,PRPF38B,,1274.3
Q5VTQ0,Q5VTQ0,,TTC39B,,
Q5VTR2,Q5VTR2,,RNF20,,9301.6
Q5VU43,Q5VU43,,PDE4DIP,,6808.08
Q5VUA4,Q5VUA4,,ZNF318,,2079.75
Q5VUD6,Q5VUD6,,DIPK1B,,
Q5VUJ6,Q5VUJ6,,LRCH2,,676.961
Q5VV41,Q5VV41,,ARHGEF16,,5350.72
Q5VV42,Q5VV42,,CDKAL1,,4582.74
Q5VV43,Q5VV43,,KIAA0319,,1397.3
Q5VW32,Q5VW32,,BROX,,19538.9
Q5VW36,Q5VW36,,FOCAD,,3145.27
Q5VW38,Q5VW38,,GPR107,,2385.69
Q5VWJ9,Q5VWJ9,,SNX30,,1479.61
Q5VWN6,Q5VWN6,,TASOR2,,2565.68
Q5VWP3,Q5VWP3,,MLIP,,13446.5
Q5VWQ0,Q5VWQ0,,RSBN1,,1391.06
Q5VWQ8,Q5VWQ8,,DAB2IP,,
Q5VWZ2,Q5VWZ2,,LYPLAL1,,20296.4
Q5VYK3,Q5VYK3,,ECPAS,,15673.6
Q5VYS8,Q5VYS8,,TUT7,,1043.99
Q5VYX0,Q5VYX0,,RNLS,,1573.21
Q5VYY1,Q5VYY1,,ANKRD22,,
Q5VZ89,Q5VZ89,,DENND4C,,5260.77
Q5VZE5,Q5VZE5,,NAA35,,4106.2
Q5VZF2,Q5VZF2,,MBNL2,,12610.2
Q5VZK9,Q5VZK9,,CARMIL1,,3778.42
Q5VZL5,Q5VZL5,,ZMYM4,,555.849
Q5VZM2,Q5VZM2,,RRAGB,,481.55
Q5W0U4,Q5W0U4,,BSPRY,,4000.02
Q5W0V3,Q5W0V3,,FAM160B1,,5645.39
Q5W0Z9,Q5W0Z9,,ZDHHC20,,2560.63
Q5W111,Q5W111,,SPRYD7,,6873.78
Q5XKE5,Q5XKE5,,KRT79,,3908.51
Q5XKK7,Q5XKK7,,FAM219B,,
Q5XKP0,Q5XKP0,,MICOS13,,13809.2
Q5XPI4,Q5XPI4,,RNF123,,1596.2
Q5XUX1,Q5XUX1,,FBXW9,,1388.66
Q5ZPR3,Q5ZPR3,,CD276,,
Q629K1,Q629K1,,TRIQK,,13268.8
Q63HM1,Q63HM1,,AFMID,,1400.51
Q63HM9,Q63HM9,,PLCXD3,,34477.6
Q63HN8,Q63HN8,,RNF213,,3685.06
Q63HQ0,Q63HQ0,,AP1AR,,
Q63HR2,Q63HR2,,TNS2,,6225.89
Q63ZY3,Q63ZY3,,KANK2,,4277.19
Q641Q2,Q641Q2,,WASHC2A,,2881.01
Q643R3,Q643R3,,LPCAT4,,1366.74
Q658P3,Q658P3,,STEAP3,,
Q658Y4,Q658Y4,,FAM91A1,,5620.79
Q659C4,Q659C4,,LARP1B,,2758.83
Q66GS9,Q66GS9,,CEP135,,1574.1
Q66K14,Q66K14,,TBC1D9B,,10484.2
Q66K74,Q66K74,,MAP1S,,13163.5
Q66LE6,Q66LE6,,PPP2R2D,,3351.93
Q66PJ3,Q66PJ3,,ARL6IP4,,10834.5
Q676U5,Q676U5,,ATG16L1,,4955.43
Q684P5,Q684P5,,RAP1GAP2,,11751.4
Q687X5,Q687X5,,STEAP4,,6310.14
Q68CP9,Q68CP9,,ARID2,,2386.04
Q68CQ4,Q68CQ4,,DIEXF,,2404.91
Q68CQ7,Q68CQ7,,GLT8D1,,11306.9
Q68CZ2,Q68CZ2,,TNS3,,6679.19
Q68D10,Q68D10,,SPTY2D1,,695.679
Q68D91,Q68D91,,MBLAC2,,4930.04
Q68DA7,Q68DA7,,FMN1,,
Q68DH5,Q68DH5,,LMBRD2,,5907.38
Q68DK2,Q68DK2,,ZFYVE26,,
Q68DK7,Q68DK7,,MSL1,,1147.54
Q68DQ2,Q68DQ2,,CRYBG3,,1176.98
Q68DU8,Q68DU8,,KCTD16,,4053.7
Q68E01,Q68E01,,INTS3,,5766.75
Q68EM7,Q68EM7,,ARHGAP17,,9480.67
Q69YL0,Q69YL0,,NCBP2AS2,,
Q69YN2,Q69YN2,,CWF19L1,,5368.13
Q69YN4,Q69YN4,,VIRMA,,4739.65
Q69YQ0,Q69YQ0,,SPECC1L,,6800.83
Q6AI08,Q6AI08,,HEATR6,,673.978
Q6AI12,Q6AI12,,ANKRD40,,
Q6AI39,Q6AI39,,BICRAL,,455.232
Q6BCY4,Q6BCY4,,CYB5R2,,1261.63
Q6BDS2,Q6BDS2,,UHRF1BP1,,1814.85
Q6DD87,Q6DD87,,ZNF787,,1362.71
Q6DD88,Q6DD88,,ATL3,,13002.7
Q6DHV7,Q6DHV7,,ADAL,,
Q6DKI1,Q6DKI1,,RPL7L1,,9434.67
Q6DKJ4,Q6DKJ4,,NXN,,10035
Q6DKK2,Q6DKK2,,TTC19,,3492.7
Q6DN03,Q6DN03,,H2BC20P,,6163.38
Q6DN12,Q6DN12,,MCTP2,,1312.5
Q6DN90,Q6DN90,,IQSEC1,,5304.02
Q6DT37,Q6DT37,,CDC42BPG,,4812.1
Q6F5E8,Q6F5E8,,CARMIL2,,18300.6
Q6FI81,Q6FI81,,CIAPIN1,,6994.58
Q6FIF0,Q6FIF0,,ZFAND6,,520.329
Q6GMV2,Q6GMV2,,SMYD5,,4532.15
Q6GMV3,Q6GMV3,,PTRHD1,,2362.54
Q6GPI1,Q6GPI1,,CTRB2,,370588
Q6GQQ9,Q6GQQ9,,OTUD7B,,2122.14
Q6GYQ0,Q6GYQ0,,RALGAPA1,,3294.72
Q6H8Q1,Q6H8Q1,,ABLIM2,,5095.27
Q6I9Y2,Q6I9Y2,,THOC7,,7632.22
Q6IA17,Q6IA17,,SIGIRR,,2131.63
Q6IA69,Q6IA69,,NADSYN1,,2505.92
Q6IA86,Q6IA86,,ELP2,,2477.51
Q6IAA8,Q6IAA8,,LAMTOR1,,37249.7
Q6IAN0,Q6IAN0,,DHRS7B,,8256.19
Q6IBS0,Q6IBS0,,TWF2,,7715.69
Q6IC98,Q6IC98,,GRAMD4,,1215.9
Q6ICB0,Q6ICB0,,DESI1,,
Q6ICG6,Q6ICG6,,KIAA0930,,
Q6ICL3,Q6ICL3,,TANGO2,,35250.8
Q6IE81,Q6IE81,,JADE1,,228.84
Q6IN84,Q6IN84,,MRM1,,1211.42
Q6IN85,Q6IN85,,PPP4R3A,,6430.61
Q6IPR1,Q6IPR1,,ETFRF1,,2158.15
Q6IPX3,Q6IPX3,,TCEAL6,,1314.5
Q6IQ22,Q6IQ22,,RAB12,,6044.48
Q6IQ23,Q6IQ23,,PLEKHA7,,4752.23
Q6IQ49,Q6IQ49,,SDE2,,6377.06
Q6JQN1,Q6JQN1,,ACAD10,,1204.08
Q6KB66,Q6KB66,,KRT80,,1926.97
Q6KC79,Q6KC79,,NIPBL,,5592.93
Q6KCM7,Q6KCM7,,SLC25A25,,17942.8
Q6L8Q7,Q6L8Q7,,PDE12,,23551.5
Q6L9W6,Q6L9W6,,B4GALNT3,,1587.14
Q6MZP7,Q6MZP7,,LIN54,,
Q6MZW2,Q6MZW2,,FSTL4,,3736
Q6MZZ7,Q6MZZ7,,CAPN13,,1985.17
Q6N043,Q6N043,,ZNF280D,,346.638
Q6N069,Q6N069,,NAA16,,10051.3
Q6NSI4,Q6NSI4,,RADX,,775.597
Q6NSJ2,Q6NSJ2,,PHLDB3,,1141
Q6NT16,Q6NT16,,SLC18B1,,1167.75
Q6NT76,Q6NT76,,HMBOX1,,793.77
Q6NTE8,Q6NTE8,,MRNIP,,1234.31
Q6NTF9,Q6NTF9,,RHBDD2,,5839.28
Q6NUJ5,Q6NUJ5,,PWWP2B,,2130.9
Q6NUK1,Q6NUK1,,SLC25A24,,38726.1
Q6NUK4,Q6NUK4,,REEP3,,3012.58
Q6NUM9,Q6NUM9,,RETSAT,,3436.61
Q6NUQ1,Q6NUQ1,,RINT1,,1784.08
Q6NUQ4,Q6NUQ4,,TMEM214,,7719.25
Q6NUS6,Q6NUS6,,TCTN3,,841.303
Q6NV74,Q6NV74,,CRACDL,,2211.32
Q6NVY1,Q6NVY1,,HIBCH,,29927.4
Q6NW29,Q6NW29,,RWDD4,,8148.32
Q6NW34,Q6NW34,,NEPRO,,3171.67
Q6NWY9,Q6NWY9,,PRPF40B,,2109.33
Q6NXE6,Q6NXE6,,ARMC6,,2970.1
Q6NXG1,Q6NXG1,,ESRP1,,5114.76
Q6NXR4,Q6NXR4,,TTI2,,665.475
Q6NXT4,Q6NXT4,,SLC30A6,,1565.88
Q6NXT6,Q6NXT6,,TAPT1,,17290.1
Q6NY19,Q6NY19,,KANK3,,2082.86
Q6NYC1,Q6NYC1,,JMJD6,,2928.88
Q6NYC8,Q6NYC8,,PPP1R18,,1927.01
Q6NZ67,Q6NZ67,,MZT2B,,2349.08
Q6NZI2,Q6NZI2,,CAVIN1,,17574.7
Q6NZY4,Q6NZY4,,ZCCHC8,,8275.31
Q6P087,Q6P087,,RPUSD3,,
Q6P158,Q6P158,,DHX57,,1763.21
Q6P161,Q6P161,,MRPL54,,7836.77
Q6P179,Q6P179,,ERAP2,,1803.37
Q6P1A2,Q6P1A2,,LPCAT3,,4411.94
Q6P1J9,Q6P1J9,,CDC73,,7441.3
Q6P1L5,Q6P1L5,,FAM117B,,
Q6P1L8,Q6P1L8,,MRPL14,,7220.67
Q6P1M0,Q6P1M0,,SLC27A4,,4835.16
Q6P1M3,Q6P1M3,,LLGL2,,6713.92
Q6P1N0,Q6P1N0,,CC2D1A,,13512.9
Q6P1N9,Q6P1N9,,TATDN1,,6666.78
Q6P1Q0,Q6P1Q0,,LETMD1,,5072.8
Q6P1Q9,Q6P1Q9,,METTL2B,,1064.72
Q6P1S2,Q6P1S2,,C3orf33,,2040.02
Q6P1X6,Q6P1X6,,C8orf82,,16024.7
Q6P2C8,Q6P2C8,,MED27,,1649.08
Q6P2E9,Q6P2E9,,EDC4,,19200.6
Q6P2H3,Q6P2H3,,CEP85,,17308.9
Q6P2P2,Q6P2P2,,PRMT9,,1867.61
Q6P2Q9,Q6P2Q9,,PRPF8,,33373.9
Q6P3S6,Q6P3S6,,FBXO42,,
Q6P3W7,Q6P3W7,,SCYL2,,5132.77
Q6P3X3,Q6P3X3,,TTC27,,1036.85
Q6P4A7,Q6P4A7,,SFXN4,,892.439
Q6P4A8,Q6P4A8,,PLBD1,,2004.33
Q6P4E1,Q6P4E1,,GOLM2,,48612.1
Q6P4F2,Q6P4F2,,FDX2,,3252.32
Q6P4I2,Q6P4I2,,WDR73,,
Q6P4Q7,Q6P4Q7,,CNNM4,,1607.01
Q6P4R8,Q6P4R8,,NFRKB,,1019.21
Q6P582,Q6P582,,MZT2A,,562.885
Q6P587,Q6P587,,FAHD1,,9968.22
Q6P597,Q6P597,,KLC3,,787.702
Q6P5R6,Q6P5R6,,RPL22L1,,4606.81
Q6P6B1,Q6P6B1,,ERICH5,,15127.5
Q6P6C2,Q6P6C2,,ALKBH5,,4779.83
Q6P996,Q6P996,,PDXDC1,,24858.1
Q6P9B6,Q6P9B6,,MEAK7,,5587.98
Q6P9B9,Q6P9B9,,INTS5,,3381.49
Q6PCB0,Q6PCB0,,VWA1,,9289.12
Q6PCB5,Q6PCB5,,RSBN1L,,1277.29
Q6PCB7,Q6PCB7,,SLC27A1,,4452.9
Q6PCE3,Q6PCE3,,PGM2L1,,3015.79
Q6PD62,Q6PD62,,CTR9,,5072.75
Q6PD74,Q6PD74,,AAGAB,,1746.82
Q6PEY1,Q6PEY1,,TMEM88,,787.089
Q6PFW1,Q6PFW1,,PPIP5K1,,4697.18
Q6PGP7,Q6PGP7,,TTC37,,13742.6
Q6PHR2,Q6PHR2,,ULK3,,2693.86
Q6PI47,Q6PI47,,KCTD18,,1788.71
Q6PI48,Q6PI48,,DARS2,,10378.9
Q6PI78,Q6PI78,,TMEM65,,8807.22
Q6PI98,Q6PI98,,INO80C,,2211.59
Q6PIJ6,Q6PIJ6,,FBXO38,,
Q6PIU2,Q6PIU2,,NCEH1,,16735.7
Q6PIV7,Q6PIV7,,SLC25A34,,1157.92
Q6PJ69,Q6PJ69,,TRIM65,,
Q6PJG2,Q6PJG2,,MIDEAS,,1960.87
Q6PJG6,Q6PJG6,,BRAT1,,2050.58
Q6PJI9,Q6PJI9,,WDR59,,6395.43
Q6PJT7,Q6PJT7,,ZC3H14,,9061.47
Q6PJW8,Q6PJW8,,CNST,,
Q6PK04,Q6PK04,,CCDC137,,288.138
Q6PK18,Q6PK18,,OGFOD3,,1334.76
Q6PKC3,Q6PKC3,,TXNDC11,,1056
Q6PKG0,Q6PKG0,,LARP1,,26698.9
Q6PL24,Q6PL24,,TMED8,,9754.76
Q6PML9,Q6PML9,,SLC30A9,,11890.9
Q6PUV4,Q6PUV4,,CPLX2,,11047
Q6QNY0,Q6QNY0,,BLOC1S3,,5681.9
Q6QNY1,Q6QNY1,,BLOC1S2,,
Q6R327,Q6R327,,RICTOR,,4411.22
Q6RFH5,Q6RFH5,,WDR74,,1857.6
Q6RW13,Q6RW13,,AGTRAP,,
Q6S8J3,Q6S8J3,,POTEE,,5771.74
Q6SPF0,Q6SPF0,,SAMD1,,1318.81
Q6STE5,Q6STE5,,SMARCD3,,1142.35
Q6SZW1,Q6SZW1,,SARM1,,19056.5
Q6U841,Q6U841,,SLC4A10,,2105.56
Q6UB35,Q6UB35,,MTHFD1L,,8499.61
Q6ULP2,Q6ULP2,,AFTPH,,3754.31
Q6UN15,Q6UN15,,FIP1L1,,15854.5
Q6UUV7,Q6UUV7,,CRTC3,,676.329
